id,name,X2019,TRACTCE,BLKGRPCE,TRACT-BG,City,City2,Hood
1500000US060730028043,"Block Group 3, Census Tract 28.04, San Diego County, California",896,2804,3,2804-3,San Diego,San Diego,College West
1500000US060730029021,"Block Group 1, Census Tract 29.02, San Diego County, California",3208,2902,1,2902-1,San Diego,San Diego,Rolando
1500000US060730029022,"Block Group 2, Census Tract 29.02, San Diego County, California",4390,2902,2,2902-2,San Diego,San Diego,Rolando
1500000US060730029031,"Block Group 1, Census Tract 29.03, San Diego County, California",1546,2903,1,2903-1,San Diego,San Diego,Redwood Village/Rolando Park
1500000US060730029032,"Block Group 2, Census Tract 29.03, San Diego County, California",1294,2903,2,2903-2,San Diego,San Diego,Redwood Village/Rolando Park
1500000US060730029033,"Block Group 3, Census Tract 29.03, San Diego County, California",1191,2903,3,2903-3,San Diego,San Diego,Redwood Village/Rolando Park
1500000US060730029041,"Block Group 1, Census Tract 29.04, San Diego County, California",3360,2904,1,2904-1,San Diego,San Diego,College East/Rolando
1500000US060730029042,"Block Group 2, Census Tract 29.04, San Diego County, California",3722,2904,2,2904-2,San Diego,San Diego,College East/Rolando
1500000US060730029043,"Block Group 3, Census Tract 29.04, San Diego County, California",1506,2904,3,2904-3,San Diego,San Diego,College East/Rolando
1500000US060730029044,"Block Group 4, Census Tract 29.04, San Diego County, California",1490,2904,4,2904-4,San Diego,San Diego,College East/Rolando
1500000US060730029051,"Block Group 1, Census Tract 29.05, San Diego County, California",998,2905,1,2905-1,San Diego,San Diego,College East/Rolando
1500000US060730029052,"Block Group 2, Census Tract 29.05, San Diego County, California",1098,2905,2,2905-2,San Diego,San Diego,College East/Rolando
1500000US060730029053,"Block Group 3, Census Tract 29.05, San Diego County, California",2182,2905,3,2905-3,San Diego,San Diego,College East/Rolando
1500000US060730030011,"Block Group 1, Census Tract 30.01, San Diego County, California",1391,3001,1,3001-1,San Diego,San Diego,Emerald Hills
1500000US060730030012,"Block Group 2, Census Tract 30.01, San Diego County, California",1710,3001,2,3001-2,San Diego,San Diego,Emerald Hills
1500000US060730030013,"Block Group 3, Census Tract 30.01, San Diego County, California",1563,3001,3,3001-3,San Diego,San Diego,Emerald Hills
1500000US060730030031,"Block Group 1, Census Tract 30.03, San Diego County, California",2532,3003,1,3003-1,San Diego,San Diego,Encanto/Broadway Heights/Lemon Grove
1500000US060730030032,"Block Group 2, Census Tract 30.03, San Diego County, California",1957,3003,2,3003-2,San Diego,San Diego,Encanto/Broadway Heights/Lemon Grove
1500000US060730030033,"Block Group 3, Census Tract 30.03, San Diego County, California",1230,3003,3,3003-3,San Diego,San Diego,Encanto/Broadway Heights/Lemon Grove
1500000US060730030041,"Block Group 1, Census Tract 30.04, San Diego County, California",2776,3004,1,3004-1,San Diego,San Diego,Encanto
1500000US060730030042,"Block Group 2, Census Tract 30.04, San Diego County, California",2488,3004,2,3004-2,San Diego,San Diego,Encanto
1500000US060730031011,"Block Group 1, Census Tract 31.01, San Diego County, California",1027,3101,1,3101-1,San Diego,San Diego,Valencia Park
1500000US060730031012,"Block Group 2, Census Tract 31.01, San Diego County, California",1304,3101,2,3101-2,San Diego,San Diego,Valencia Park
1500000US060730031013,"Block Group 3, Census Tract 31.01, San Diego County, California",1710,3101,3,3101-3,San Diego,San Diego,Valencia Park
1500000US060730031031,"Block Group 1, Census Tract 31.03, San Diego County, California",2142,3103,1,3103-1,San Diego,San Diego,Skyline
1500000US060730031032,"Block Group 2, Census Tract 31.03, San Diego County, California",2353,3103,2,3103-2,San Diego,San Diego,Skyline
1500000US060730031033,"Block Group 3, Census Tract 31.03, San Diego County, California",1610,3103,3,3103-3,San Diego,San Diego,Skyline
1500000US060730031051,"Block Group 1, Census Tract 31.05, San Diego County, California",2850,3105,1,3105-1,San Diego,San Diego,Jamacha Lomita
1500000US060730031052,"Block Group 2, Census Tract 31.05, San Diego County, California",1814,3105,2,3105-2,San Diego,San Diego,Jamacha Lomita
1500000US060730031071,"Block Group 1, Census Tract 31.07, San Diego County, California",2747,3107,1,3107-1,San Diego,San Diego,Skyline/Jamacha Lomita
1500000US060730031072,"Block Group 2, Census Tract 31.07, San Diego County, California",2298,3107,2,3107-2,San Diego,San Diego,Skyline/Jamacha Lomita
1500000US060730031073,"Block Group 3, Census Tract 31.07, San Diego County, California",1100,3107,3,3107-3,San Diego,,Skyline/Jamacha Lomita
1500000US060730031081,"Block Group 1, Census Tract 31.08, San Diego County, California",2162,3108,1,3108-1,,,Spring Valley
1500000US060730031082,"Block Group 2, Census Tract 31.08, San Diego County, California",1635,3108,2,3108-2,,,Spring Valley
1500000US060730031091,"Block Group 1, Census Tract 31.09, San Diego County, California",1218,3109,1,3109-1,San Diego,San Diego,Bay Terraces
1500000US060730031092,"Block Group 2, Census Tract 31.09, San Diego County, California",911,3109,2,3109-2,San Diego,San Diego,Bay Terraces
1500000US060730031093,"Block Group 3, Census Tract 31.09, San Diego County, California",1129,3109,3,3109-3,San Diego,San Diego,Bay Terraces
1500000US060730031111,"Block Group 1, Census Tract 31.11, San Diego County, California",2381,3111,1,3111-1,San Diego,San Diego,Valencia Park
1500000US060730031112,"Block Group 2, Census Tract 31.11, San Diego County, California",1865,3111,2,3111-2,San Diego,San Diego,Valencia Park
1500000US060730031113,"Block Group 3, Census Tract 31.11, San Diego County, California",2156,3111,3,3111-3,San Diego,San Diego,Valencia Park
1500000US060730031121,"Block Group 1, Census Tract 31.12, San Diego County, California",1856,3112,1,3112-1,San Diego,San Diego,Valencia Park/Encanto
1500000US060730031122,"Block Group 2, Census Tract 31.12, San Diego County, California",2600,3112,2,3112-2,San Diego,San Diego,Valencia Park/Encanto
1500000US060730031131,"Block Group 1, Census Tract 31.13, San Diego County, California",2745,3113,1,3113-1,San Diego,San Diego,Encanto/Alta Vista
1500000US060730031132,"Block Group 2, Census Tract 31.13, San Diego County, California",2675,3113,2,3113-2,San Diego,San Diego,Encanto/Alta Vista
1500000US060730031141,"Block Group 1, Census Tract 31.14, San Diego County, California",1273,3114,1,3114-1,San Diego,San Diego,Bay Terraces
1500000US060730031142,"Block Group 2, Census Tract 31.14, San Diego County, California",2189,3114,2,3114-2,San Diego,San Diego,Bay Terraces
1500000US060730031151,"Block Group 1, Census Tract 31.15, San Diego County, California",2590,3115,1,3115-1,San Diego,San Diego,Bay Terraces/Skyline
1500000US060730031152,"Block Group 2, Census Tract 31.15, San Diego County, California",1427,3115,2,3115-2,San Diego,San Diego,Bay Terraces/Skyline
1500000US060730031153,"Block Group 3, Census Tract 31.15, San Diego County, California",889,3115,3,3115-3,San Diego,San Diego,Bay Terraces/Skyline
1500000US060730031154,"Block Group 4, Census Tract 31.15, San Diego County, California",1968,3115,4,3115-4,San Diego,San Diego,Bay Terraces/Skyline
1500000US060730032011,"Block Group 1, Census Tract 32.01, San Diego County, California",1356,3201,1,3201-1,San Diego,San Diego,Paradise Hills
1500000US060730032012,"Block Group 2, Census Tract 32.01, San Diego County, California",2008,3201,2,3201-2,San Diego,San Diego,Paradise Hills
1500000US060730032013,"Block Group 3, Census Tract 32.01, San Diego County, California",1793,3201,3,3201-3,San Diego,San Diego,Paradise Hills
1500000US060730032021,"Block Group 1, Census Tract 32.02, San Diego County, California",1791,3202,1,3202-1,San Diego,San Diego,Paradise Hills
1500000US060730032022,"Block Group 2, Census Tract 32.02, San Diego County, California",2506,3202,2,3202-2,San Diego,San Diego,Paradise Hills
1500000US060730032041,"Block Group 1, Census Tract 32.04, San Diego County, California",1467,3204,1,3204-1,,,Bonita
1500000US060730032042,"Block Group 2, Census Tract 32.04, San Diego County, California",1818,3204,2,3204-2,San Diego,,Bonita
1500000US060730032071,"Block Group 1, Census Tract 32.07, San Diego County, California",1672,3207,1,3207-1,,,Bay Terraces
1500000US060730032072,"Block Group 2, Census Tract 32.07, San Diego County, California",2179,3207,2,3207-2,,,Bay Terraces
1500000US060730032073,"Block Group 3, Census Tract 32.07, San Diego County, California",2427,3207,3,3207-3,,,Bay Terraces
1500000US060730032081,"Block Group 1, Census Tract 32.08, San Diego County, California",1520,3208,1,3208-1,San Diego,San Diego,Bay Terraces
1500000US060730032082,"Block Group 2, Census Tract 32.08, San Diego County, California",790,3208,2,3208-2,San Diego,San Diego,Bay Terraces
1500000US060730032083,"Block Group 3, Census Tract 32.08, San Diego County, California",1422,3208,3,3208-3,San Diego,San Diego,Bay Terraces
1500000US060730032084,"Block Group 4, Census Tract 32.08, San Diego County, California",1044,3208,4,3208-4,San Diego,San Diego,Bay Terraces
1500000US060730032085,"Block Group 5, Census Tract 32.08, San Diego County, California",1882,3208,5,3208-5,San Diego,San Diego,Bay Terraces
1500000US060730032091,"Block Group 1, Census Tract 32.09, San Diego County, California",2693,3209,1,3209-1,San Diego,San Diego,Bay Terraces
